UF;valor;id_servico;dia_venda
CE;89.0;0;1
CE;254.0;0;2
CE;212.0;0;3
GO;212.0;0;4
MA;89.0;0;5
BA;130.0;0;6
CE;130.0;0;7
CE;89.0;0;8
CE;130.0;0;9
CE;357.0;0;10
AL;89.0;0;11
ES;89.0;1;1
MA;171.0;1;2
CE;179.0;1;3
CE;269.0;1;4
PE;253.0;2;1
ES;212.0;2;2
CE;347.0;2;3
AL;212.0;2;4
CE;269.0;2;5
DF;294.0;2;6
CE;130.0;2;7
BA;89.0;2;8
CE;180.0;2;9
BA;89.0;2;10
CE;171.0;2;11
CE;179.0;3;1
BA;89.0;3;2
SP;212.0;3;3
CE;89.0;3;4
CE;269.0;3;5
CE;91.0;3;6
CE;82.0;3;7
AM;171.0;3;8
CE;82.0;3;9
CE;82.0;3;10
CE;130.0;4;1
AL;41.0;4;2
CE;535.0;4;3
ES;89.0;4;4
GO;171.0;4;5
CE;269.0;4;6
CE;130.0;4;7
CE;357.0;5;1
MA;212.0;5;2
CE;130.0;5;3
CE;212.0;5;4
PA;294.0;5;5
MA;130.0;5;6
CE;82.0;5;7
CE;179.0;5;8
CE;91.0;5;9
CE;130.0;5;10
MA;253.0;6;1
CE;130.0;6;2
GO;253.0;6;3
CE;179.0;6;4
CE;130.0;6;5
CE;358.0;6;6
CE;179.0;7;1
CE;268.0;7;2
CE;212.0;7;3
CE;89.0;7;4
CE;269.0;7;5
CE;130.0;7;6
AM;294.0;8;1
CE;179.0;8;2
CE;268.0;8;3
MG;130.0;8;4
ES;171.0;8;5
CE;171.0;8;6
CE;212.0;8;7
CE;268.0;8;8
DF;171.0;8;9
CE;212.0;8;10
BA;130.0;9;1
CE;357.0;9;2
MA;89.0;9;3
CE;422.0;9;4
CE;164.0;9;5
CE;179.0;9;6
AP;294.0;9;7
BA;89.0;9;8
CE;268.0;9;9
ES;171.0;9;10
CE;130.0;9;11
CE;200.0;9;12
CE;212.0;9;13
CE;269.0;9;14
CE;268.0;9;15
AL;212.0;9;16
BA;89.0;9;17
CE;91.0;10;1
AL;130.0;10;2
AM;171.0;10;3
BA;89.0;10;4
AM;253.0;10;5
CE;89.0;10;6
CE;230.0;10;7
BA;130.0;10;8
CE;358.0;11;1
CE;269.0;11;2
BA;89.0;11;3
CE;89.0;11;4
MA;130.0;11;5
CE;171.0;11;6
ES;171.0;11;7
AM;212.0;11;8
BA;130.0;11;9
AC;171.0;12;1
CE;268.0;12;2
CE;130.0;12;3
CE;89.0;12;4
BA;130.0;12;5
GO;41.0;12;6
AM;130.0;12;7
MA;171.0;12;8
ES;89.0;13;1
CE;130.0;13;2
CE;41.0;13;3
MA;89.0;13;4
CE;446.0;13;5
AC;212.0;13;6
GO;171.0;13;7
MA;130.0;13;8
CE;41.0;13;9
BA;89.0;13;10
CE;269.0;13;11
CE;179.0;14;1
GO;171.0;14;2
AL;171.0;14;3
MA;130.0;14;4
CE;130.0;14;5
CE;130.0;15;1
CE;179.0;15;2
CE;212.0;15;3
ES;41.0;15;4
CE;358.0;15;5
BA;89.0;16;1
BA;89.0;16;2
CE;171.0;16;3
DF;41.0;16;4
CE;251.0;16;5
BA;89.0;16;6
CE;358.0;16;7
CE;357.0;16;8
AP;130.0;16;9
CE;357.0;16;10
CE;179.0;16;11
CE;89.0;16;12
CE;179.0;16;13
