country;iso_code;date;total_vaccinations;people_vaccinated;people_fully_vaccinated;daily_vaccinations_raw;daily_vaccinations;total_vaccinations_per_hundred;people_vaccinated_per_hundred;people_fully_vaccinated_per_hundred;daily_vaccinations_per_million;vaccines;source_name;source_website
Afghanistan;AFG;22/02/2021;0;0;;;;0;0;;;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;23/02/2021;;;;;13670;;;;350;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;24/02/2021;;;;;13670;;;;350;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;25/02/2021;;;;;13670;;;;350;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;26/02/2021;;;;;13670;;;;350;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;27/02/2021;;;;;13670;;;;350;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;28/02/2021;82000;82000;;;13670;2;2;;350;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;01/03/2021;;;;;15800;;;;410;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;02/03/2021;;;;;17940;;;;460;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;03/03/2021;;;;;20080;;;;520;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;04/03/2021;;;;;22210;;;;570;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;05/03/2021;;;;;24350;;;;630;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;06/03/2021;;;;;26490;;;;680;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;07/03/2021;;;;;28620;;;;740;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;08/03/2021;;;;;28620;;;;740;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;09/03/2021;;;;;28620;;;;740;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;10/03/2021;;;;;28620;;;;740;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;11/03/2021;;;;;28620;;;;740;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;12/03/2021;;;;;28620;;;;740;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;13/03/2021;;;;;28620;;;;740;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;14/03/2021;;;;;28620;;;;740;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;15/03/2021;;;;;28620;;;;740;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;16/03/2021;540000;540000;;;28620;14;14;;740;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;17/03/2021;;;;;28820;;;;740;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;18/03/2021;;;;;29020;;;;750;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;19/03/2021;;;;;29210;;;;750;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;20/03/2021;;;;;29410;;;;760;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;21/03/2021;;;;;29610;;;;760;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;22/03/2021;;;;;29800;;;;770;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;23/03/2021;;;;;30000;;;;770;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;24/03/2021;;;;;30000;;;;770;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;25/03/2021;;;;;30000;;;;770;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;26/03/2021;;;;;30000;;;;770;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;27/03/2021;;;;;30000;;;;770;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;28/03/2021;;;;;30000;;;;770;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;29/03/2021;;;;;30000;;;;770;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;30/03/2021;;;;;30000;;;;770;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;31/03/2021;;;;;30000;;;;770;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;01/04/2021;;;;;30000;;;;770;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;02/04/2021;;;;;30000;;;;770;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;03/04/2021;;;;;30000;;;;770;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;04/04/2021;;;;;30000;;;;770;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;05/04/2021;;;;;30000;;;;770;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;06/04/2021;;;;;30000;;;;770;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;07/04/2021;1200000;1200000;;;30000;31;31;;770;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;08/04/2021;;;;;37140;;;;950;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;09/04/2021;;;;;44290;;;;1140;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;10/04/2021;;;;;51430;;;;1320;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;11/04/2021;;;;;58570;;;;1500;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;12/04/2021;;;;;65710;;;;1690;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;13/04/2021;;;;;72860;;;;1870;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;14/04/2021;;;;;80000;;;;2060;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;15/04/2021;;;;;80000;;;;2060;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;16/04/2021;;;;;80000;;;;2060;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Afghanistan;AFG;17/04/2021;;;;;80000;;;;2060;Oxford/AstraZeneca;Government of Afghanistan;https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
